hotel_name,comment_title,comment_date,date_of_stay,userName,user_profile,rating,recommend_count,country,userId
台北馥華南港館 ,出差洩壓避風港,2019年5月,住宿日期： 2019年4月,Passenger51639105222,https://www.tripadvisor.com.tw/Profile/Passenger51639105222,5.0,,台灣台南,
台北馥華南港館 ,酒店服務,2019年4月,住宿日期： 2019年4月,Venture47859303144,https://www.tripadvisor.com.tw/Profile/Venture47859303144,5.0,,,
台北馥華南港館 ,乾淨 衛浴乾濕分離，但隔音差 !!,2019年3月,住宿日期： 2019年3月,Curiosity16248306849,https://www.tripadvisor.com.tw/Profile/Curiosity16248306849,4.0,,,
台北馥華南港館 ,"小而美,質感佳",2019年3月,住宿日期： 2019年3月,毛強,https://www.tripadvisor.com.tw/Profile/Climber810167,4.0,1,Taipei,
台北馥華南港館 ,馥華商旅南港館整體感覺,2019年3月,住宿日期： 2019年3月,Cruiser51756626250,https://www.tripadvisor.com.tw/Profile/Cruiser51756626250,5.0,,,
台北馥華南港館 ,房間早餐,2019年3月,住宿日期： 2019年3月,Navigate06841204761,https://www.tripadvisor.com.tw/Profile/Navigate06841204761,5.0,,,
台北馥華南港館 ,住宿地點交通很方便,2019年2月,住宿日期： 2019年1月,designbyjun,https://www.tripadvisor.com.tw/Profile/designbyjun,4.0,32,台灣台北,
台北馥華南港館 ,鄰近捷運站出口,2019年1月,住宿日期： 2019年1月,Corinna,https://www.tripadvisor.com.tw/Profile/Corinna0830,5.0,4,台灣新竹,
台北馥華南港館 ,普通,2018年11月,,Solesouljoy,https://www.tripadvisor.com.tw/Profile/Solesouljoy,3.0,49,新加坡新加坡,
台北馥華南港館 ,中規中矩,2018年10月,住宿日期： 2018年9月,hzhwang,https://www.tripadvisor.com.tw/Profile/hzhwang,3.0,9,台灣,
台北馥華南港館 ,位置很好，早餐很棒,2018年4月,,Flyer729528,https://www.tripadvisor.com.tw/Profile/Flyer729528,5.0,,,
台北馥華南港館 ,CP值不高,2017年12月,住宿日期： 2017年3月,Kelly W,https://www.tripadvisor.com.tw/Profile/KellyW4008,3.0,8,Taipei,
台北馥華南港館 ,早餐非常豐富、露台氣氛休閒,2017年10月,住宿日期： 2017年10月,Teng089,https://www.tripadvisor.com.tw/Profile/Teng089,4.0,13,台灣台東,
台北馥華南港館 ,一次居住體驗,2017年6月,,plural39,https://www.tripadvisor.com.tw/Profile/plural39,4.0,57,加州洛杉磯,
台北馥華南港館 ,極好的酒店，非常接近MRT,2017年6月,,Jalem Raj Raj Rohit,https://www.tripadvisor.com.tw/Profile/rajrohit33,5.0,,印度海德拉巴,
台北馥華南港館 ,好於預期,2017年5月,,Reniervdk,https://www.tripadvisor.com.tw/Profile/Reniervdk,4.0,10,,
台北馥華南港館 ,停車場不好停,2017年3月,住宿日期： 2016年12月,877jimmyy,https://www.tripadvisor.com.tw/Profile/877jimmyy,4.0,7,,
台北馥華南港館 ,靠近捷運站，附設免費自助洗衣機,2017年2月,住宿日期： 2016年12月,coleseanted,https://www.tripadvisor.com.tw/Profile/coleseanted,4.0,11,Taipei,
台北馥華南港館 ,接待人員態度很好!但房間隔音太差,2017年1月,住宿日期： 2016年12月,潘韋心,https://www.tripadvisor.com.tw/Profile/Daydream809431,3.0,,新北市,
台北馥華南港館 ,交通方便的另類之選,2016年11月,住宿日期： 2016年10月,Jackie,https://www.tripadvisor.com.tw/Profile/karheiwong,4.0,37,香港,
台北馥華南港館 ,區位方便，經濟實惠,2016年10月,住宿日期： 2016年10月,jamesman521,https://www.tripadvisor.com.tw/Profile/jamesman521,4.0,,Taipei,
台北馥華南港館 ,環境，價格，服務，都很好。,2016年9月,住宿日期： 2016年7月,Masa L,https://www.tripadvisor.com.tw/Profile/MasaL45,4.0,1,,
台北馥華南港館 ,非常普通的旅館,2016年9月,住宿日期： 2016年1月,simonkoong,https://www.tripadvisor.com.tw/Profile/simonkoong,3.0,1,香港,
台北馥華南港館 ,房間及環境優,2016年8月,住宿日期： 2016年8月,ericchuang84,https://www.tripadvisor.com.tw/Profile/ericchuang84,4.0,,台灣高雄,
台北馥華南港館 ,辦理展覽、看展或洽公時的好住處,2016年2月,住宿日期： 2015年8月,HollyWang,https://www.tripadvisor.com.tw/Profile/HollyWang,5.0,11,,
台北馥華南港館 ,位置偏遠，但生活機能不錯,2016年2月,住宿日期： 2016年2月,PencilKevin,https://www.tripadvisor.com.tw/Profile/PencilKevin,5.0,17,台灣台北,
台北馥華南港館 ,四個晚上換了三次房間,2015年12月,住宿日期： 2015年6月,choywingyue,https://www.tripadvisor.com.tw/Profile/choywingyue,4.0,9,香港,
台北馥華南港館 ,位置偏遠但飯店服務佳房間整潔,2015年12月,住宿日期： 2015年4月,robertlee2013,https://www.tripadvisor.com.tw/Profile/robertlee2013,4.0,20,台灣台中,
台北馥華南港館 ,地點便利環境舒適,2015年12月,住宿日期： 2015年12月,284fionas,https://www.tripadvisor.com.tw/Profile/284fionas,4.0,10,台灣台中,
台北馥華南港館 ,離捷運站小距離但偏避安靜CP值高,2015年9月,住宿日期： 2015年5月,木村拓徹,https://www.tripadvisor.com.tw/Profile/Escape806443,5.0,30,台灣,
台北馥華南港館 ,整體感覺流暢的一間旅館,2015年9月,住宿日期： 2015年9月,u8901035,https://www.tripadvisor.com.tw/Profile/u8901035,5.0,41,台灣三民,
台北馥華南港館 ,非常便利舒適的地方,2015年8月,住宿日期： 2015年8月,Joanna W,https://www.tripadvisor.com.tw/Profile/JoannaW4133,5.0,1,,
台北馥華南港館 ,服務滿分,2015年8月,住宿日期： 2015年8月,飛翔的豬,https://www.tripadvisor.com.tw/Profile/GrandTour807084,4.0,3,台灣,
台北馥華南港館 ,很棒的服務,2015年7月,住宿日期： 2015年7月,林秀,https://www.tripadvisor.com.tw/Profile/Voyager807641,5.0,,苗栗縣,
台北馥華南港館 ,錢花的很值，愉快的旅行,2015年6月,,Seyed S,https://www.tripadvisor.com.tw/Profile/SeyedS,5.0,9,加拿大蒙特婁,
台北馥華南港館 ,短途台北商務旅行,2015年3月,,Martin_travellers,https://www.tripadvisor.com.tw/Profile/Martin_travellers,5.0,21,澳洲萊爾,
台北馥華南港館 ,離捷運站近 適合兩人台北輕旅行的住宿,2015年3月,住宿日期： 2014年12月,mchang616,https://www.tripadvisor.com.tw/Profile/mchang616,5.0,2,喬治亞州亞特蘭大,
台北馥華南港館 ,對於出差來說很完美,2014年10月,,Inverno2014,https://www.tripadvisor.com.tw/Profile/Inverno2014,5.0,7,義大利基瓦索,
台北馥華南港館 ,經濟舒適的入住環境,2014年8月,,Graeme P,https://www.tripadvisor.com.tw/Profile/graemep999,5.0,41,英國Bourton-on-the-Hill,
台北馥華南港館 ,隔音超級差,2014年4月,住宿日期： 2014年3月,阿咪貓,https://www.tripadvisor.com.tw/Profile/BoardingPass805371,2.0,3,南投,
台北馥華南港館 ,簡單乾淨，很棒的商務旅館,2013年5月,,Emer K,https://www.tripadvisor.com.tw/Profile/EmerK20,4.0,27,英國倫敦,
台北馥華南港館 ,就是地理位置偏了點兒，其它各方面都很贊！,2013年4月,,TripAdvisor 會員,https://www.tripadvisor.com.tw,4.0,,,
台北馥華南港館 ,除了位置以外，是完美,2012年8月,,TripAdvisor 會員,https://www.tripadvisor.com.tw,5.0,,,
台北馥華南港館 ,這個酒店真不錯!,2012年6月,,Hutum,https://www.tripadvisor.com.tw/Profile/Hutum,4.0,17,孟加拉達卡市,
台北馥華南港館 ,酒店的位置對於去的人們婺源彩虹橋度假村,2017年4月,住宿日期： 2017年4月由 Asia Online Language Studio 翻譯評等翻譯 更佳翻譯,Yickhong L,https://www.tripadvisor.com.tw/Profile/yickhongl,4.0,4,香港,
台北馥華南港館 ,"非常乾淨,舒適和方便",2017年1月,住宿日期： 2016年12月由 Asia Online Language Studio 翻譯評等翻譯 更佳翻譯,joshua b,https://www.tripadvisor.com.tw/Profile/joshbash,5.0,166,佛羅里達州邁阿密,
台北馥華南港館 ,位置很好很方便很乾淨有免費的無綫網絡l l l,2016年11月,住宿日期： 2016年5月由 Asia Online Language Studio 翻譯評等翻譯 更佳翻譯,BonitaChen,https://www.tripadvisor.com.tw/Profile/BonitaChen,4.0,5,,
台北馥華南港館 ,"很不錯,乾淨,高效的小酒店 ",2016年10月,住宿日期： 2016年10月由 Asia Online Language Studio 翻譯評等翻譯 更佳翻譯,my8286432,https://www.tripadvisor.com.tw/Profile/my8286432,5.0,141,加州洛斯阿爾托斯,
台北馥華南港館 ,近南港展覽中心,2016年9月,住宿日期： 2016年9月由 Asia Online Language Studio 翻譯評等翻譯 更佳翻譯,Ann C,https://www.tripadvisor.com.tw/Profile/annlovey,4.0,10,加州舊金山,
台北馥華南港館 ,很棒的樸素的酒店南港區工作！,2016年5月,住宿日期： 2016年5月由 Asia Online Language Studio 翻譯評等翻譯 更佳翻譯,Carl B,https://www.tripadvisor.com.tw/Profile/131carlb,5.0,29,維吉尼亞州沃倫頓,
台北馥華南港館 ,還不錯的酒店。,2016年2月,住宿日期： 2016年1月由 Asia Online Language Studio 翻譯評等翻譯 更佳翻譯,TravellerSG2000,https://www.tripadvisor.com.tw/Profile/TravellerSG2000,3.0,26,Singapore,
台北馥華南港館 ,很好的酒店 ,2015年12月,住宿日期： 2015年12月由 Asia Online Language Studio 翻譯評等翻譯 更佳翻譯,Tomhas,https://www.tripadvisor.com.tw/Profile/Tomhas,4.0,32,,
台北馥華南港館 ,"很棒的位置,很棒的服務",2015年10月,住宿日期： 2015年10月由 Asia Online Language Studio 翻譯評等翻譯 更佳翻譯,BigIsleFoodie,https://www.tripadvisor.com.tw/Profile/BigIsleFoodie,4.0,197,夏威夷卡慕也拉,
台北馥華南港館 ,"員工很友好, 地方在我想是量好的精簡",2015年2月,住宿日期： 2015年2月由 Asia Online Language Studio 翻譯評等翻譯 ,WorldTravelerDD,https://www.tripadvisor.com.tw/Profile/WorldTravelerDD,2.0,23,賓夕法尼亞州匹茲堡,
康寧生活會館,住宿,2019年7月,住宿日期： 2019年2月,林子傑,https://www.tripadvisor.com.tw/Profile/lm_5660,5.0,,台灣內湖,
康寧生活會館,交通便利，房間坪數大，有家的感覺。,2016年5月,住宿日期： 2016年4月划算度服務睡眠品質旅程類型： 好友出遊,539lori,https://www.tripadvisor.com.tw/Profile/539lori,5.0,2,台灣台南,
康寧生活會館,綠意盎然的居住品質,2015年5月,住宿日期： 2015年5月舒適度服務睡眠品質,飯店274,https://www.tripadvisor.com.tw/Profile/Nomad807501,4.0,3,台灣台北,
康寧生活會館,有些房間有霉味,2014年6月,住宿日期： 2014年6月划算度舒適度地點清潔與衛生服務,Leo W,https://www.tripadvisor.com.tw/Profile/LeoW1163,2.0,9,,
康寧生活會館,很有生活氣息的酒店,2013年6月,,TripAdvisor 會員,https://www.tripadvisor.com.tw,4.0,,,
北投春天酒店,臨近市區的温泉飯店,2019年8月23日,,Mmsirene,https://www.tripadvisor.com.tw/Profile/Mmsirene,4.0,,台灣高雄,UID_72FC487BECC7FBF8D8C1216181FBAF73-SRC_702017220
北投春天酒店,有優惠卷的話值得來體驗,2019年7月3日,,peichieh920,https://www.tripadvisor.com.tw/Profile/peichieh920,4.0,,台灣台北,UID_80E99021060C6EC71FBC853CA24AB415-SRC_686486499
北投春天酒店,不是五星級飯店,2019年5月13日,,kawli,https://www.tripadvisor.com.tw/Profile/kawli,2.0,,,UID_9900150551B7EA7D6A8D19C10F65E9CC-SRC_673602745
北投春天酒店,有泳池、溫泉、美食、浴袍和拖鞋,2019年5月6日,,PVR2,https://www.tripadvisor.com.tw/Profile/PVR2,4.0,,荷蘭,UID_E26F73DC3C4D610DC7CFCF00CA1D837F-SRC_673930854
北投春天酒店,初次體驗五星飯店的非五星服務,2019年4月22日,,bearz911,https://www.tripadvisor.com.tw/Profile/bearz911,2.0,,,UID_CCEAAA18F8D315683478DBE2CF51B063-SRC_668270980
北投春天酒店,只能評為三星級飯店而已!,2019年4月16日,,lpwpete,https://www.tripadvisor.com.tw/Profile/lpwpete,2.0,,台灣台北,UID_024C45E93B80525B7DFFC943B266DAA5-SRC_666839563
北投春天酒店,溫泉,2019年4月14日,,一位來自中國的 TripAdvisor 會員,https://www.tripadvisor.com.tw/Profile/一位來自中國的 TripAdvisor 會員,5.0,,,
北投春天酒店,家庭溫泉之旅,2019年4月10日,,CayeT2,https://www.tripadvisor.com.tw/Profile/CayeT2,4.0,,,UID_0277AAA4790EB5A698BE5CAC9EBC9DD5-SRC_665174724
北投春天酒店,整體而言，環境舒適，但職員不專業,2019年4月1日,,MichaelL084,https://www.tripadvisor.com.tw/Profile/MichaelL084,2.0,,香港,UID_50FDC2D424703767F6019826BDEE0249-SRC_662629379
北投春天酒店,可以放鬆的渡假溫泉酒店,2019年2月18日,,Bebo8822,https://www.tripadvisor.com.tw/Profile/Bebo8822,4.0,,香港,UID_D7A3BCB7356C6CF60A81D86FF9F8A1F2-SRC_653130808
北投春天酒店,台北市區的優質溫泉酒店,2018年12月22日,,Joe-love-travel,https://www.tripadvisor.com.tw/Profile/Joe-love-travel,4.0,,,UID_E2740D8F6748C28D463A6ED15402EFB8-SRC_640944678
北投春天酒店,難得一見的露天硫磺泉風呂,2018年12月12日,,godsbestlove,https://www.tripadvisor.com.tw/Profile/godsbestlove,4.0,,台灣台北,UID_573A51E28F98EA85B78C1E8A8C5D4931-SRC_639072569
北投春天酒店,小型私人溫泉,2018年11月13日,,limjazlyn,https://www.tripadvisor.com.tw/Profile/limjazlyn,4.0,,新加坡新加坡,UID_1FF4E80A0A093CC2A636EA36CE40A7C9-SRC_639381890
北投春天酒店,房間,2018年11月11日,,waiwaihk,https://www.tripadvisor.com.tw/Profile/waiwaihk,4.0,,,UID_4EE6E37F08B650A479E4E9393CF39104-SRC_632553966
北投春天酒店,令人放鬆的地方,2018年11月7日,,Paul Mark P,https://www.tripadvisor.com.tw/Profile/Paul Mark P,4.0,,"Cebu City, Philippines",UID_C0ED7410A20BCD3B3A5368336247761B-SRC_632899235
北投春天酒店,不錯,2018年10月6日,,hugo710731,https://www.tripadvisor.com.tw/Profile/hugo710731,4.0,,台灣台北,UID_07D789AA9663BD3E492EBA615C5E9E0D-SRC_622588536
北投春天酒店,非常好的戶外公共溫泉,2018年10月7日,,SFOYYZ_Eric,https://www.tripadvisor.com.tw/Profile/SFOYYZ_Eric,4.0,,Toronto,UID_6AE1C04462433E11EAF3CC787F72472B-SRC_623992652
北投春天酒店,泡湯空間很不錯,2018年8月29日,,chinghsuan,https://www.tripadvisor.com.tw/Profile/chinghsuan,5.0,,台灣桃園,UID_3B923B75AF569C427850952FB869E6D8-SRC_611738301
北投春天酒店,老飯店沉穩從容的服務，雖不新穎但很舒適,2018年8月19日,,MarcySo,https://www.tripadvisor.com.tw/Profile/MarcySo,5.0,,,UID_7FC269B2C499069CC03AF1D661FC80B8-SRC_607874099
北投春天酒店,服務好，泡湯住宿CP值高,2018年7月16日,,Erin1033,https://www.tripadvisor.com.tw/Profile/Erin1033,5.0,,台灣台北,UID_19954B2ADFA1C23C4C542E4910FCD94C-SRC_596588556
北投春天酒店,冬天戶外泡湯放鬆的好地方,2018年7月13日,,Sandy0050220,https://www.tripadvisor.com.tw/Profile/Sandy0050220,4.0,,台灣台北,UID_FDEFB1184650C481166254D8E25180D3-SRC_595856413
北投春天酒店,老牌酒店,2018年7月12日,,lunlun2017,https://www.tripadvisor.com.tw/Profile/lunlun2017,5.0,,香港,UID_9D0664BC09AC75982B077291473E1D66-SRC_595547307
北投春天酒店,經營已久但仍新穎,2018年7月5日,,Voyage705476,https://www.tripadvisor.com.tw/Profile/Voyage705476,4.0,,台灣沙鹿,UID_9130E4750C32A9134788B09D0FD5FF92-SRC_593672294
北投春天酒店,北投老牌酒店,2018年4月17日,,Patpat2929,https://www.tripadvisor.com.tw/Profile/Patpat2929,4.0,,香港,UID_EF6F7AEEE050E799882EC9135E3BA675-SRC_573879146
北投春天酒店,餐點還可以，湯屋CP值不高,2018年3月31日,,WenchiaChang,https://www.tripadvisor.com.tw/Profile/WenchiaChang,3.0,,"Taipei, Taipei, Taiwan",UID_652F2109620A6BF80BCD857272F4410F-SRC_569881117
北投春天酒店,溫泉浴室,2018年3月27日,,YeeTengL3,https://www.tripadvisor.com.tw/Profile/YeeTengL3,5.0,,,UID_17CDF94C1024AFD32A9D587588CD6C78-SRC_580116630
北投春天酒店,老字號,2018年3月12日,,cheungh73,https://www.tripadvisor.com.tw/Profile/cheungh73,3.0,,,UID_BCF52DC66B98ADC6CE4D2AA1DC6B6046-SRC_565957612
北投春天酒店,最輝煌的時代已經過去了嗎,2018年3月3日,,82chenk,https://www.tripadvisor.com.tw/Profile/82chenk,3.0,,台灣南港,UID_A64DB04F47CC56A5F2DAF0C69139D76D-SRC_563826303
北投春天酒店,老字號溫泉酒店,2018年2月26日,,Johnny H,https://www.tripadvisor.com.tw/Profile/Johnny H,3.0,,,UID_B536A8E0D3D596A126F8214F3E0FBC78-SRC_562825496
北投春天酒店,安靜舒適的溫泉酒店,2018年2月25日,,Daphfang,https://www.tripadvisor.com.tw/Profile/Daphfang,4.0,,台灣中正區,UID_8F6A47DD1BB234ED3C57B06D4A005F21-SRC_562591191
北投春天酒店,湯屋內裝設備老舊、排水孔卡毛髮,2018年2月24日,,laurakT8126UZ,https://www.tripadvisor.com.tw/Profile/laurakT8126UZ,2.0,,,UID_0367E5E33526207940D2DF6768D9705E-SRC_562519300
北投春天酒店,不錯的老牌溫泉飯店,2018年2月19日,,OnAir810059,https://www.tripadvisor.com.tw/Profile/OnAir810059,5.0,,,UID_37F52AF09C9E0F7735FCBBF74ADBCC68-SRC_561354157
北投春天酒店,CP值高,2018年1月29日,,Hilda L,https://www.tripadvisor.com.tw/Profile/Hilda L,4.0,,,UID_24F4659A0820C1516DC43A6EEE23A8E7-SRC_557117600
北投春天酒店,餐點很超值,2018年1月28日,,HanTingP2,https://www.tripadvisor.com.tw/Profile/HanTingP2,4.0,,,UID_3831BE79A48D7DD2BC295C70E574C2B8-SRC_556795235
北投春天酒店,很正的溫泉旅館,2018年1月22日,,manfok,https://www.tripadvisor.com.tw/Profile/manfok,5.0,,香港,UID_FECF959358CC5A58C7E0BB27B4BCB48E-SRC_555379428
北投春天酒店,不如以往,2018年1月17日,,Lu M,https://www.tripadvisor.com.tw/Profile/Lu M,3.0,,Taipei,UID_636955FF908C955754B1691A558EE478-SRC_554371532
北投春天酒店,服務好但整體美人遲暮,2018年1月16日,,AliceY376,https://www.tripadvisor.com.tw/Profile/AliceY376,4.0,,,UID_2E1776F0C066E04649EA6718BD918BC0-SRC_554219261
北投春天酒店,歲月留痕的酒店,2018年1月13日,,HK_Fion,https://www.tripadvisor.com.tw/Profile/HK_Fion,3.0,,香港,UID_443973A5179EF8838F0DE0BC8A3D2637-SRC_553522157
北投春天酒店,悠閑之旅,2018年1月11日,,JUDYT1606,https://www.tripadvisor.com.tw/Profile/JUDYT1606,3.0,,,UID_709E42CFB6BF774EA9D6ABEA2A501AD3-SRC_553122099
北投春天酒店,很不錯的溫泉酒店,2017年12月30日,,vivianlau1,https://www.tripadvisor.com.tw/Profile/vivianlau1,5.0,,,UID_33564604CCD3EA9802B6DE0C9A0B99DE-SRC_551902645
北投春天酒店,泡湯+用餐,2017年12月26日,,tina0453,https://www.tripadvisor.com.tw/Profile/tina0453,4.0,,台灣台北,UID_ACB7301C37D89CC461F95DC383D8863C-SRC_549290206
北投春天酒店,有乳白牛奶白磺溫泉的春天酒店!!,2017年12月23日,,Inspiration808897,https://www.tripadvisor.com.tw/Profile/Inspiration808897,4.0,,台灣桃園,UID_5C0EDFFA1F4EF74C910C53969F2BF436-SRC_548829219
北投春天酒店,北投老牌五星級溫泉酒店,2017年12月5日,,Seewhom,https://www.tripadvisor.com.tw/Profile/Seewhom,4.0,,台灣台北,UID_8DD0FF2353409F38A43C38821033C529-SRC_545291608
北投春天酒店,老溫泉飯店但維護的還不錯,2017年11月19日,,TravelYingke,https://www.tripadvisor.com.tw/Profile/TravelYingke,4.0,,台灣台北,UID_147E856B01A377C282EEBBF0B4A19673-SRC_541871854
北投春天酒店,露天溫泉,2017年11月11日,,Trek735312,https://www.tripadvisor.com.tw/Profile/Trek735312,4.0,,,UID_21651DD39C7AFDD16C4F877F03E339F1-SRC_540119813
北投春天酒店,日本料理午餐,2017年11月7日,,Louise L,https://www.tripadvisor.com.tw/Profile/Louise L,4.0,,台灣永和,UID_69E70FA618AF518BC2CF6F9E56324DB9-SRC_538929939
北投春天酒店,酒店帶溫泉的大型客房,2017年10月28日,,jelmerbouma85,https://www.tripadvisor.com.tw/Profile/jelmerbouma85,4.0,,荷蘭Ureterp,UID_E1D8C18C4A876890EBFE033CD4A95ED1-SRC_539090911
北投春天酒店,接駁車次頻繁方便,2017年10月20日,,Laura C,https://www.tripadvisor.com.tw/Profile/Laura C,4.0,,台灣台北,UID_A003FA7F63BA4E991B171AF4A17FD1E8-SRC_534439992
北投春天酒店,房間不錯.價錢還好,2017年10月17日,,wktony33,https://www.tripadvisor.com.tw/Profile/wktony33,4.0,,澳門,UID_C9154FE45E99D6B8ED076E609C65EB2E-SRC_533615181
北投春天酒店,早餐好吃，露天溫泉不錯,2017年10月7日,,giging1111,https://www.tripadvisor.com.tw/Profile/giging1111,4.0,,香港,UID_06F2E49BE507FBAF461D919D02FCE3C5-SRC_530691167
北投春天酒店,不適合家庭 戶外溫泉不方便，幽雅18 下午茶吃到飽 很糟！,2017年10月7日,,Footprints712998,https://www.tripadvisor.com.tw/Profile/Footprints712998,1.0,,,UID_B93E6D44FB9D4F639D7A6D468CD29A7A-SRC_530688427
北投春天酒店,小心！男士要有緊身泳褲,2017年9月20日,,EDDIE2046,https://www.tripadvisor.com.tw/Profile/EDDIE2046,1.0,,Laayoune,UID_58F68C1D15F6DC430696F40776A82D52-SRC_525945400
北投春天酒店,房間寬敞，泡湯舒適，但服務有些倨傲感。,2017年9月6日,,Discover808988,https://www.tripadvisor.com.tw/Profile/Discover808988,4.0,,台灣芎林,UID_21E192CD7DE9B0F93FD4CB15B16B7197-SRC_521714430
北投春天酒店,"早餐很好食, 溫泉不錯",2017年9月3日,,tsechinpang1994,https://www.tripadvisor.com.tw/Profile/tsechinpang1994,4.0,,香港,UID_E7A81D3D500522A216EF5A34AA8BEAE8-SRC_520737259
北投春天酒店,風味的溫泉酒店,2017年8月29日,,kmsm20081114,https://www.tripadvisor.com.tw/Profile/kmsm20081114,5.0,,香港,UID_448AE65B1D4B2BFCF0E9E85A529AB696-SRC_518672271
北投春天酒店,溫泉酒店,2017年8月16日,,vivianlau1,https://www.tripadvisor.com.tw/Profile/vivianlau1,4.0,,,UID_33564604CCD3EA9802B6DE0C9A0B99DE-SRC_515048261
北投春天酒店,爛到直接退房換其他飯店,2017年7月20日,,chiminyen,https://www.tripadvisor.com.tw/Profile/chiminyen,1.0,,台灣台北,UID_36F448FE59520FDD467D2119756A5627-SRC_503604696
