hotel_url,restaurants_nearby,spot_nearby
https://www.tripadvisor.com.tw/Hotel_Review-g13806900-d302966-Reviews-Les_Suites_Taipei_Ching_cheng-Songshan_Taipei.html,"慶城海南雞飯, 潮江燕潮廣海鮮餐廳, HOOTERS美式餐廳, 胡椒餅","台北小巨蛋, Breeze Nanjing, 台北松山機場旅遊服務中心, 惜台灣單車旅行"
https://www.tripadvisor.com.tw/Hotel_Review-g13808853-d11651293-Reviews-Hotel_Relax_5-Zhongzheng_District_Taipei.html,"福州世祖胡椒餅(重慶店), 劉山東牛肉麵, 良品牛肉麵, 老虎醬溫州大餛飩","桃園機場捷運線, 國立台灣博物館土銀展示館, 國立台灣博物館, 懐寧街"
https://www.tripadvisor.com.tw/Hotel_Review-g13808853-d12419761-Reviews-CitizenM_Taipei_North_Gate-Zhongzheng_District_Taipei.html,,
https://www.tripadvisor.com.tw/Hotel_Review-g13806427-d2095241-Reviews-Grand_View_Resort_Beitou-Beitou_Taipei.html,"少帥禪園, The Restaurant - 三二行館, 歐陸餐廳 - 北投丽禧温泉酒店, 滿客屋拉麵","北投地熱谷公園, 北投文物館, 台灣善光寺, 東河公園"
https://www.tripadvisor.com.tw/Hotel_Review-g13806451-d1950018-Reviews-CityInn_Hotel_Taipei_Station_Branch_III-Datong_Taipei.html,,
https://www.tripadvisor.com.tw/Hotel_Review-g13806900-d302768-Reviews-The_Sherwood_Taipei-Songshan_Taipei.html,,
https://www.tripadvisor.com.tw/Hotel_Review-g13808671-d4463155-Reviews-Via_Hotel_Loft-Zhongshan_District_Taipei.html,"明宮粵菜廳 台北老爺大酒店, 夢樂小廚, 夏慕尼 - 台北中山北店, 無老鍋 中山店","臺北戲棚, 雙連市場, 老爺烘培坊-老爺大酒店, 頂好超市 - 林森北路"
https://www.tripadvisor.com.tw/Hotel_Review-g13811269-d1411424-Reviews-Dandy_Hotel_Daan_Park_Branch-Da_an_Taipei.html,,
https://www.tripadvisor.com.tw/Hotel_Review-g13808853-d12404865-Reviews-Finders_Hotel-Zhongzheng_District_Taipei.html,"欣葉日本料理 館前店, 藝奇 - 台北衡陽店, 老牌牛肉拉麺大王, 福州世祖胡椒餅(重慶店)","TourMeAway - Free Walking Tour In Taipei, 二二八和平紀念公園, 二二八紀念館, 國立台灣博物館土銀展示館"
https://www.tripadvisor.com.tw/Hotel_Review-g13808853-d12419761-Reviews-CitizenM_Taipei_North_Gate-Zhongzheng_District_Taipei.html,,
https://www.tripadvisor.com.tw/Hotel_Review-g13806427-d2095241-Reviews-Grand_View_Resort_Beitou-Beitou_Taipei.html,"少帥禪園, The Restaurant - 三二行館, 歐陸餐廳 - 北投丽禧温泉酒店, 滿客屋拉麵","北投地熱谷公園, 北投文物館, 台灣善光寺, 東河公園"
https://www.tripadvisor.com.tw/Hotel_Review-g13806451-d1950018-Reviews-CityInn_Hotel_Taipei_Station_Branch_III-Datong_Taipei.html,"提拉米蘇精緻蛋糕, 福珍排骨酥, Turando 杜蘭朵, 小樽手作珈琲 - 京站店","桃園機場捷運線, 京站時尚廣場, 台北當代藝術館, 台北車站 (桃園捷運)"
https://www.tripadvisor.com.tw/Hotel_Review-g13811269-d7997174-Reviews-Home_Hotel_DaAn-Da_an_Taipei.html,"M One Café, 橘色涮涮屋, 羅浮宮 台北福華大飯店, FIFI 茶酒沙龍 常玉廳","天主教台北聖家堂, 太平洋崇光百貨公司（敦化館）, 悅禾莊園SPA - 仁愛會館, Draft Land"
https://www.tripadvisor.com.tw/Hotel_Review-g13808671-d1066078-Reviews-Dandy_Hotel_Tianjin_Branch-Zhongshan_District_Taipei.html,"天香回味(南京店總店), 烘焙坊, 台北肥前屋餐廳, 高記中山店","天仁茗茶, 新光三越 (台北南西店), 林森公園, FAVtory快.食.尚"
https://www.tripadvisor.com.tw/Hotel_Review-g13806951-d2347774-Reviews-Amba_Taipei_Ximending-Wanhua_Taipei.html,"T.G.I.Fridays(西門店), 天外天精緻麻辣火鍋 - 昆明, 便所欢乐主题餐厅台北西門町店, Geography Bar&Cafe","西門町, 天后宮, 剝皮竂, 西本願寺廣場"
https://www.tripadvisor.com.tw/Hotel_Review-g13808515-d1879542-Reviews-W_Taipei-Xinyi_District_Taipei.html,,
https://www.tripadvisor.com.tw/Hotel_Review-g13808671-d8553817-Reviews-Ark_Hotel_Chang_an_Fuxing-Zhongshan_District_Taipei.html,"VOLKS沃克牛排, 茂園台菜餐廳, 星聚點1號鐵板燒, 老舅的家鄉味酸菜白肉鍋","Breeze Nanjing, 國賓影城 Breeze Center, 微風廣場, 惜台灣單車旅行"
https://www.tripadvisor.com.tw/Hotel_Review-g13806951-d3134481-Reviews-Via_Hotel-Wanhua_Taipei.html,"藝奇 - 台北衡陽店, Mala Yuanyang Hotpot, 老牌牛肉拉麺大王, 富宏牛肉麵","西門町, 西門紅樓, 天后宮, 西門站地下商城"
https://www.tripadvisor.com.tw/Hotel_Review-g13808853-d1191387-Reviews-Hotel_73-Zhongzheng_District_Taipei.html,"江記東門豆花, 金雞母, Two Shots, 東門鴨莊","中正紀念堂, 中正紀念公園, 耶穌基督後期聖徒教會, 臺北監獄圍牆遺蹟"
https://www.tripadvisor.com.tw/Hotel_Review-g13806451-d6925013-Reviews-Star_Hostel_Taipei_Main_Station-Datong_Taipei.html,"頤宮中餐廳 Le Palais, 四海豆漿大王, 瓦城泰國料理-台北三越站前店, 八方雲集","京站時尚廣場, 微風台北車站, 台北當代藝術館, 台北地下街"
https://www.tripadvisor.com.tw/Hotel_Review-g13806900-d306449-Reviews-Sunworld_Dynasty_Hotel_Taipei-Songshan_Taipei.html,"The Jade Lounge at Mandarin Oriental Taipei, Bencotto at Mandarin Oriental, Taipei, 文華Cafe, 西班牙小酒館 Hestia Tapas Bar","Breeze Nanjing, 吉軒茶語, 文華精品, Urban One"
https://www.tripadvisor.com.tw/Hotel_Review-g13811269-d1395608-Reviews-Hotel_Eclat_Taipei-Da_an_Taipei.html,"Gustoso 義大利餐廳-慕軒飯店, Le Blanc, 燈燈庵日式料理餐廳, Danny & Company","有魚陶藝, 有肉 Succulent & Gift, 三叶, Aging Room Cigar & Spirits"
https://www.tripadvisor.com.tw/Hotel_Review-g13808853-d8555273-Reviews-Via_Hotel_Taipei_Station-Zhongzheng_District_Taipei.html,"老牌牛肉拉麺大王, 陶板屋 - 台北重慶南店, 點水樓(懷寧店), 明星咖啡西餐","二二八紀念館, 國立台灣博物館土銀展示館, 國立台灣博物館, 台北中山堂"
https://www.tripadvisor.com.tw/Hotel_Review-g13808853-d1144583-Reviews-CityInn_Hotel_Taipei_Station_Branch_I-Zhongzheng_District_Taipei.html,"頤宮中餐廳 Le Palais, 欣葉日本料理 館前店, 藝奇 - 台北衡陽店, 老牌牛肉拉麺大王","TourMeAway - Free Walking Tour In Taipei, 京站時尚廣場, 微風台北車站, 國立台灣博物館土銀展示館"
https://www.tripadvisor.com.tw/Hotel_Review-g13808515-d505594-Reviews-Pacific_Business_Hotel-Xinyi_District_Taipei.html,"燒肉同話(台北光復南店), 王品 - 台北光復南店, Woolloomooloo, JK Studio","台北101, 台北國際書展, 四四南村眷村文物館, 臺北世界貿易中心一館"
https://www.tripadvisor.com.tw/Hotel_Review-g13806900-d1416364-Reviews-Mandarin_Oriental_Taipei-Songshan_Taipei.html,"The Jade Lounge at Mandarin Oriental Taipei, Bencotto at Mandarin Oriental, Taipei, 文華Cafe, M.O. Bar at Mandarin Oriental, Taipei","台北小巨蛋, 松山機場觀景台, Breeze Nanjing, 城市舞台"
https://www.tripadvisor.com.tw/Hotel_Review-g13806900-d12926686-Reviews-Artree_Hotel-Songshan_Taipei.html,"秦小姐豆漿店, 子辣 個人 麻辣, 下港ㄧㄝ莫宰羊羊肉專賣店, MUNCHIES Cafe & Bistro","台北小巨蛋, 松山文創園區, Breeze Nanjing, 城市舞台"
https://www.tripadvisor.com.tw/Hotel_Review-g13808853-d4023040-Reviews-Hotel_Relax_I-Zhongzheng_District_Taipei.html,"欣葉日本料理 館前店, 小蒙牛頂級麻辣養生鍋 台北站前店, 咖啡弄站前店, 威爾貝克手烘咖啡","國立台灣博物館土銀展示館, 國立台灣博物館, 懐寧街, 城中市場"
https://www.tripadvisor.com.tw/Hotel_Review-g13808853-d11704833-Reviews-Taiwan_Youth_Hostel_Capsule_Hotel-Zhongzheng_District_Taipei.html,"添好運 - HOYII北車站店, 怡客咖啡 - 站前店, 怡客咖啡(公保店), Burger Lab.","台北車站 (桃園捷運), 國立台灣博物館, 懐寧街, 城中市場"
https://www.tripadvisor.com.tw/Hotel_Review-g13808853-d4866564-Reviews-Beauty_Hotels_Taipei_Hotel_B7-Zhongzheng_District_Taipei.html,,
https://www.tripadvisor.com.tw/Hotel_Review-g13806451-d583571-Reviews-City_Suites_Taipei_Nanxi-Datong_Taipei.html,,
https://www.tripadvisor.com.tw/Hotel_Review-g13806427-d1993302-Reviews-Hotel_DOUBLE_ONE-Beitou_Taipei.html,"少帥禪園, 奇岩一號川湘料理, 喜歡西餐廳 大地酒店, The Restaurant - 三二行館","北投圖書館, 北投地熱谷公園, 北投溫泉博物館, 行義路溫泉街"
https://www.tripadvisor.com.tw/Hotel_Review-g13806427-d6440283-Reviews-The_Gaia_Hotel_Taipei-Beitou_Taipei.html,"陶板屋 - 新北投光明店, 奇岩一號川湘料理, 矮仔財滷肉飯, 喜歡西餐廳 大地酒店","北投溫泉, 北投溫泉博物館, 行義路溫泉街, 北投公園"
https://www.tripadvisor.com.tw/Hotel_Review-g13806879-d2035389-Reviews-Dandy_Hotel_Tianmu_Branch-Shilin_Taipei.html,"艾迪墨西哥餐廳, 九份芋圓, 宋江餡餅粥, 露特西亞","劍潭山, 天母棒球場, 士東市場, 天母生活市集"
https://www.tripadvisor.com.tw/Hotel_Review-g13808853-d4371941-Reviews-Backpackers_Inn_Taipei-Zhongzheng_District_Taipei.html,,
https://www.tripadvisor.com.tw/Hotel_Review-g13811269-d8555269-Reviews-Swiio_Hotel_Daan-Da_an_Taipei.html,,
https://www.tripadvisor.com.tw/Hotel_Review-g13808853-d7912555-Reviews-Bouti_Capsule_Inn-Zhongzheng_District_Taipei.html,"欣葉日本料理 館前店, 藝奇 - 台北衡陽店, 老牌牛肉拉麺大王, 福州世祖胡椒餅(重慶店)","京站時尚廣場, 微風台北車站, 國立台灣博物館土銀展示館, 國立台灣博物館"
https://www.tripadvisor.com.tw/Hotel_Review-g13808671-d455558-Reviews-Taipei_Gala_Hotel-Zhongshan_District_Taipei.html,,
https://www.tripadvisor.com.tw/Hotel_Review-g293913-d1173001-Reviews-Royal_Seasons_Hotel_Taipei_Nanjing_West-Taipei.html,"古早味豆花, 豆花荘, 脆皮鮮奶甜甜圈(台北店), 圓環三元號","迪化街, 寧夏路夜市, 霞海城隍廟, 永樂市場"
https://www.tripadvisor.com.tw/Hotel_Review-g13808853-d4866564-Reviews-Beauty_Hotels_Taipei_Hotel_B7-Zhongzheng_District_Taipei.html,"極品軒, 台北永和豆漿大王, 西堤 - 台北重慶南店, 丞祖胡椒餅(重慶店)","二二八和平紀念公園, 二二八紀念館, 國立台灣博物館土銀展示館, 總統府"
https://www.tripadvisor.com.tw/Hotel_Review-g13806951-d5893025-Reviews-Meander_Taipei_Hostel-Wanhua_Taipei.html,"黔園川菜餐庁, 梁山泊小籠湯包, 馬林漁, 雅香石頭火鍋成都店","西門町, 天后宮, 艋舺清水巖祖師廟, 萬年商業大樓"
https://www.tripadvisor.com.tw/Hotel_Review-g13808853-d1191387-Reviews-Hotel_73-Zhongzheng_District_Taipei.html,"鼎泰豐(信義路), Gusto Pizza, 天津蔥抓餅, 杭州小龍湯包","來好 LAI HAO Taiwan Gift Shop, 永康街商圈, 掌門精釀啤酒 (台北永康店), 東門市場"
https://www.tripadvisor.com.tw/Hotel_Review-g13808853-d12419761-Reviews-CitizenM_Taipei_North_Gate-Zhongzheng_District_Taipei.html,"鄭記豬腳肉飯, 鄭記豬腳飯, 鬍鬚張(台北南門店), 就是牛牛肉麵","台北地下街, 西本願寺廣場, 捷運北門站 (台北鐵道局), 東門"
https://www.tripadvisor.com.tw/Hotel_Review-g13806951-d2241584-Reviews-Swiio_Hotel_Ximending-Wanhua_Taipei.html,"Mala Yuanyang Hotpot, 富宏牛肉麵, T.G.I.Fridays(西門店), 天天利美食坊","西門町, 西門紅樓, 天后宮, 西門站地下商城"
https://www.tripadvisor.com.tw/Hotel_Review-g13806451-d4314606-Reviews-CU_Hotel_Taipei_Branch-Datong_Taipei.html,,
https://www.tripadvisor.com.tw/Hotel_Review-g13808671-d302516-Reviews-Hotel_Royal_Nikko_Taipei-Zhongshan_District_Taipei.html,"梅子鰻蒲燒屋日本料理, 明宮粵菜廳 台北老爺大酒店, 梅子餐廰, 夏慕尼 - 台北中山北店","李制餅家, 新光三越 (台北南西店), 老爺烘培坊-老爺大酒店, 頂好超市 - 林森北路"
https://www.tripadvisor.com.tw/Hotel_Review-g13806451-d10884076-Reviews-Flip_Flop_Hostel_Garden-Datong_Taipei.html,"頤宮中餐廳 Le Palais, 君品酒店 Le Thé茶坊, 山頭火拉麵, 天吉屋 京站店","桃園機場捷運線, 京站時尚廣場, 台北當代藝術館, 台北車站 (桃園捷運)"
https://www.tripadvisor.com.tw/Hotel_Review-g13808853-d8002516-Reviews-Morwing_Hotel_Fairy_Tale-Zhongzheng_District_Taipei.html,"福州世祖胡椒餅(重慶店), 劉山東牛肉麵, Heritage Bakery And Cafe, 老虎醬溫州大餛飩","國立台灣博物館土銀展示館, 台北中山堂, 懐寧街, 臺北郵局"
https://www.tripadvisor.com.tw/Hotel_Review-g13808671-d3371409-Reviews-The_Okura_Prestige_Taipei-Zhongshan_District_Taipei.html,"天香回味(南京店總店), 烘焙坊, 米塔手感烘焙南京店, 摩斯漢堡","天仁茗茶, 新光三越 (台北南西店), 林森公園, FAVtory快.食.尚"
https://www.tripadvisor.com.tw/Hotel_Review-g13811269-d16766127-Reviews-Kimpton_Da_An_Hotel-Da_an_Taipei.html,,
https://www.tripadvisor.com.tw/Hotel_Review-g13808671-d306437-Reviews-Evergreen_Laurel_Hotel_Taipei-Zhongshan_District_Taipei.html,"老四川巴蜀麻辣鍋台北長安店, 養心茶樓, 馬友友印度廚房-素食餐廳, 富霸王豬腳極品","袖珍博物館, 三創生活園區, 光華商場, 樹火紀念紙博物館"
https://www.tripadvisor.com.tw/Hotel_Review-g13808515-d505594-Reviews-Pacific_Business_Hotel-Xinyi_District_Taipei.html,"Kiki餐廳(延吉創始店), 燒肉同話(台北光復南店), 凱菲屋 台北君悅酒店, 王品 - 台北光復南店","臨江街夜市-通化街夜市, 四四南村眷村文物館, 臺北世界貿易中心一館, 四四南村"
https://www.tripadvisor.com.tw/Hotel_Review-g13811269-d5667026-Reviews-Madison_Taipei_Hotel-Da_an_Taipei.html,"Gustoso 義大利餐廳-慕軒飯店, 台北怡亨酒店 Eclat Lounge, SONOMA Global Steak House 焱牛排館, Urban 331-慕軒飯店","KidsAwesome奧森兒童博物館, 有肉 Succulent & Gift, Sappho Live, 知足健康"
https://www.tripadvisor.com.tw/Hotel_Review-g13808671-d3826117-Reviews-Taipei_Morning_Hotel-Zhongshan_District_Taipei.html,,
https://www.tripadvisor.com.tw/Hotel_Review-g13808671-d306188-Reviews-Imperial_Hotel_Taipei-Zhongshan_District_Taipei.html,"欣葉台菜-創始店, 帝國牛排館, 50嵐(晴光店), Malibu","臺北戲棚, 花博公園, 雙城街夜市, MAJI 集食行樂"
https://www.tripadvisor.com.tw/Hotel_Review-g13808853-d8555273-Reviews-Via_Hotel_Taipei_Station-Zhongzheng_District_Taipei.html,"老牌牛肉拉麺大王, 陶板屋 - 台北重慶南店, 點水樓(懷寧店), 明星咖啡西餐","二二八紀念館, 國立台灣博物館土銀展示館, 國立台灣博物館, 台北中山堂"
https://www.tripadvisor.com.tw/Hotel_Review-g13808671-d15661515-Reviews-DoubleTree_by_Hilton_Taipei_Zhongshan-Zhongshan_District_Taipei.html,"布娜飛小酒館 台北中山店, 梅子鰻蒲燒屋日本料理, 明宮粵菜廳 台北老爺大酒店, 梅子餐廰","李制餅家, 新光三越 (台北南西店), 台北當代藝術館, 老爺烘培坊-老爺大酒店"
https://www.tripadvisor.com.tw/Hotel_Review-g13806900-d1416364-Reviews-Mandarin_Oriental_Taipei-Songshan_Taipei.html,"The Jade Lounge at Mandarin Oriental Taipei, 馬友友印度廚房二,民生東路, Bencotto at Mandarin Oriental, Taipei, 文華Cafe","一芳 台湾水菓茶(台北民生店), Breeze Nanjing, 吉軒茶語, Urban One"
https://www.tripadvisor.com.tw/Hotel_Review-g13808853-d7097562-Reviews-Hotel_Relax_2-Zhongzheng_District_Taipei.html,"欣葉日本料理 館前店, 劉山東牛肉麵, 小蒙牛頂級麻辣養生鍋 台北站前店, 咖啡弄站前店","國立台灣博物館土銀展示館, 國立台灣博物館, 懐寧街, 城中市場"
https://www.tripadvisor.com.tw/Hotel_Review-g13806951-d7253521-Reviews-Next_Stop_Taipei-Wanhua_Taipei.html,,
https://www.tripadvisor.com.tw/Hotel_Review-g13806951-d598920-Reviews-Rich_Garden_Hotel-Wanhua_Taipei.html,,
https://www.tripadvisor.com.tw/Hotel_Review-g13808671-d306458-Reviews-The_Riviera_Hotel-Zhongshan_District_Taipei.html,"地中海牛排館-歐華酒店, 這一鍋皇室祕藏鍋物 中山北殿, 欣葉台菜-創始店, Mr.Lin's 三明治","台北市立美術館, 花博公園, 雙城街夜市, MAJI 集食行樂"
https://www.tripadvisor.com.tw/Hotel_Review-g13808853-d5042984-Reviews-HOTEL_COZZI_Zhongxiao_Taipei-Zhongzheng_District_Taipei.html,"原燒 (台北林森北店), 鈺善閣, 辰園 - 台北喜來登大飯店, 安東廳 - 台北喜來登大飯店","華山1914文化創意產業園區, 希望廣場 農民市集, 振頤軒 - 忠孝新生門市, 監察院"
https://www.tripadvisor.com.tw/Hotel_Review-g13806951-d2445647-Reviews-Ximen_Airline_Hotel-Wanhua_Taipei.html,,
https://www.tripadvisor.com.tw/Hotel_Review-g13808671-d659162-Reviews-THE_Tango_Taipei_NanShi-Zhongshan_District_Taipei.html,,
https://www.tripadvisor.com.tw/Hotel_Review-g13806451-d6028427-Reviews-Taipei_City_Home-Datong_Taipei.html,"脆皮鮮奶甜甜圈(台北店), 三多屋爸爸嘴, 福元胡椒餅, 大稻埕魯肉飯","桃園機場捷運線, 京站時尚廣場, 台北當代藝術館, 台北車站 (桃園捷運)"
https://www.tripadvisor.com.tw/Hotel_Review-g13806951-d607467-Reviews-Hotel_Puri_Ximen_Branch-Wanhua_Taipei.html,"Mala Yuanyang Hotpot, T.G.I.Fridays(西門店), 天天利美食坊, 黑熊先生巧克力布朗尼 西門店","西門町, 西門紅樓, 天后宮, 西門站地下商城"
https://www.tripadvisor.com.tw/Hotel_Review-g13806951-d6366729-Reviews-Cho_Hotel-Wanhua_Taipei.html,,
https://www.tripadvisor.com.tw/Hotel_Review-g13808853-d1534317-Reviews-Just_Sleep_Ximending-Zhongzheng_District_Taipei.html,"西門町芒菓冰, 鴨肉扁, 東一排骨總店, 楊排骨酥麵","西門站地下商城, 西本願寺廣場, 萬年商業大樓, 台北中山堂"
https://www.tripadvisor.com.tw/Hotel_Review-g13806900-d633449-Reviews-Taipei_Fullerton_Hotel_Maison_North-Songshan_Taipei.html,,
https://www.tripadvisor.com.tw/Hotel_Review-g13806451-d4134607-Reviews-Bee_House_Taipei_Station_Branch-Datong_Taipei.html,"脆皮鮮奶甜甜圈(台北店), 三多屋爸爸嘴, 福元胡椒餅, 大稻埕魯肉飯","桃園機場捷運線, 京站時尚廣場, 台北當代藝術館, 台北車站 (桃園捷運)"
https://www.tripadvisor.com.tw/Hotel_Review-g13806951-d6366729-Reviews-Cho_Hotel-Wanhua_Taipei.html,"Mala Yuanyang Hotpot, T.G.I.Fridays(西門店), 天天利美食坊, 黑熊先生巧克力布朗尼 西門店","西門町, 家樂福(桂林店), 西門紅樓, 天后宮"
https://www.tripadvisor.com.tw/Hotel_Review-g13806427-d7395723-Reviews-Hotel_Royal_Beitou-Beitou_Taipei.html,"陶板屋 - 新北投光明店, 奇岩一號川湘料理, 喜歡西餐廳 大地酒店, 滿來溫泉拉麵","北投溫泉, 北投溫泉博物館, 行義路溫泉街, R22A 新北投站"
https://www.tripadvisor.com.tw/Hotel_Review-g13808671-d7840139-Reviews-Taipei_Marriott_Hotel-Zhongshan_District_Taipei.html,"N°168 Prime 牛排館 維多麗亞酒店, 馬友友印度廚房（大直店）, 教父牛排 Danny's Steakhouse, Danny & Co Bistro (D&C Bistro)","美麗華百樂園, 金面山親山步道, EnterSpace 密室逃脫/咖啡實驗室, 旋轉木馬"
https://www.tripadvisor.com.tw/Hotel_Review-g13808853-d6931589-Reviews-Fun_Inn_Taipei-Zhongzheng_District_Taipei.html,,
https://www.tripadvisor.com.tw/Hotel_Review-g13808671-d10161540-Reviews-Grand_Mayfull_Hotel_Taipei-Zhongshan_District_Taipei.html,,
https://www.tripadvisor.com.tw/Hotel_Review-g13806951-d8787745-Reviews-Click_Hotel_Ximending_Branch-Wanhua_Taipei.html,"Mala Yuanyang Hotpot, 富宏牛肉麵, T.G.I.Fridays(西門店), 天天利美食坊","西門町, 西門紅樓, 天后宮, 西門站地下商城"
https://www.tripadvisor.com.tw/Hotel_Review-g13808853-d301805-Reviews-Sheraton_Grand_Taipei_Hotel-Zhongzheng_District_Taipei.html,"布娜飛小酒館 台北中山店, 原燒 (台北林森北店), 鈺善閣, 辰園 - 台北喜來登大飯店","國家文創禮品館, 希望廣場 農民市集, 振頤軒 - 忠孝新生門市, 國父史蹟館(逸仙公園)"
https://www.tripadvisor.com.tw/Hotel_Review-g13806951-d7682006-Reviews-Art_otel_Ximending_Taipei-Wanhua_Taipei.html,"Mala Yuanyang Hotpot, 富宏牛肉麵, T.G.I.Fridays(西門店), 天天利美食坊","西門町, 天后宮, 剝皮竂, 西本願寺廣場"
